Algo,num_cluster,card,visit_m,seed_g,limits_,dim,sig,ave,objval,bound,x,num_pts,data_points,distance_matrix,Pow_pts_size,distance_matrix_new,chosen,data_added
AdMST ,4,3,1,111,"[1, 1]",2,0.1,0.5,0.41068127,0.41068127,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",12,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581; 0.469675 0.418935; 0.436648 0.364285],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf],4095,0,"Any[[0.576956, 0.386524], [0.517428, 0.540242], [0.508588, 0.531579], [0.271829, 0.674581]]",9_13_2
AdNNnew ,4,3,1,111,"[1, 1]",2,0.1,0.5,0.487451983,0.487451983,"[1.0, -0.0, -0.0, -0.0, 0.0, 1.0, 0.0, -0.0, 1.0, 1.0, -0.0, 0.0]",12,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581; 0.469675 0.418935; 0.436648 0.364285],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf],4095,0,"Any[[0.576956, 0.386524], [0.569673, 0.663204], [0.459721, 0.579288], [0.271829, 0.674581]]",9_13_2
AdMST ,5,2,1,111,"[1, 1]",2,0.1,0.5,0.644943063,0.644943063,"[1.0, -0.0, 0.0, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, -0.0]",10,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf],1023,0,"Any[[0.576956, 0.386524], [0.615596, 0.39619], [0.517428, 0.540242], [0.508588, 0.531579], [0.459721, 0.579288]]",9_13_2
AdGTSP ,4,3,1,111,"[1, 1]",2,0.1,0.5,2.085849797,2.085849797,"[-0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 1.0]",12,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581; 0.469675 0.418935; 0.436648 0.364285],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059 0.694463; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157 0.795797; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389 0.631828; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177 0.732069; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613 0.748059; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181 0.87428; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106 0.735689; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685 0.668467; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237 0.739539; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353 0.72729; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542 0.629366; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf 0.568652; 0.694463 0.795797 0.631828 0.732069 0.748059 0.87428 0.735689 0.668467 0.739539 0.72729 0.629366 0.568652 Inf],4095,[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059 0.694463; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157 0.795797; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389 0.631828; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177 0.732069; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613 0.748059; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181 0.87428; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106 0.735689; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685 0.668467; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237 0.739539; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353 0.72729; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542 0.629366; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf 0.568652; 0.694463 0.795797 0.631828 0.732069 0.748059 0.87428 0.735689 0.668467 0.739539 0.72729 0.629366 0.568652 Inf],"Any[[0.633401, 0.481764], [0.569673, 0.663204], [0.459721, 0.579288], [0.271829, 0.674581]]",9_13_2
AdNNnew ,5,2,1,111,"[1, 1]",2,0.1,0.5,0.516619419,0.516619419,"[1.0, -0.0, 1.0, -0.0, 0.0, 1.0, 1.0, -0.0, 0.0, 1.0]",10,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf],1023,0,"Any[[0.576956, 0.386524], [0.421581, 0.470612], [0.569673, 0.663204], [0.508588, 0.531579], [0.271829, 0.674581]]",9_13_2
AdGTSP ,5,2,1,111,"[1, 1]",2,0.1,0.5,2.099160288,2.099160288,"[1.0, -0.0, 0.0, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, -0.0, 1.0]",10,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.694463; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.795797; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.631828; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.732069; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.748059; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.87428; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.735689; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.668467; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.739539; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.72729; 0.694463 0.795797 0.631828 0.732069 0.748059 0.87428 0.735689 0.668467 0.739539 0.72729 Inf],1023,[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.694463; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.795797; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.631828; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.732069; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.748059; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.87428; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.735689; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.668467; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.739539; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.72729; 0.694463 0.795797 0.631828 0.732069 0.748059 0.87428 0.735689 0.668467 0.739539 0.72729 Inf],"Any[[0.576956, 0.386524], [0.615596, 0.39619], [0.517428, 0.540242], [0.508588, 0.531579], [0.459721, 0.579288]]",9_13_2
AdMST ,4,3,2,111,"[1, 1]",2,0.1,0.5,0.930268908,0.930268908,"[1.0, 1.0, 4.14758e-11, 1.0, 1.0, 0.0, 1.0, 1.0, 3.79461e-11, 1.0, 1.0, 4.14758e-11]",12,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581; 0.469675 0.418935; 0.436648 0.364285],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf],4095,0,"Any[[0.576956, 0.386524], [0.633401, 0.481764], [0.421581, 0.470612], [0.615596, 0.39619], [0.517428, 0.540242], [0.508588, 0.531579], [0.334362, 0.578835], [0.459721, 0.579288], [0.271829, 0.674581], [0.469675, 0.418935], [0.436648, 0.364285]]",9_13_2
AdNNnew ,4,3,2,111,"[1, 1]",2,0.1,0.5,0.585250344,0.585250344,"[1.0, 1.0, -0.0, 1.0, -0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 1.0]",12,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581; 0.469675 0.418935; 0.436648 0.364285],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf],4095,0,"Any[[0.576956, 0.386524], [0.633401, 0.481764], [0.615596, 0.39619], [0.569673, 0.663204], [0.508588, 0.531579], [0.459721, 0.579288], [0.271829, 0.674581], [0.436648, 0.364285]]",9_13_2
AdGTSP ,4,3,2,111,"[1, 1]",2,0.1,0.5,2.332031877,2.332031877,"[1.0, 1.0, -0.0, 4.86192e-11, 1.0, 1.0, 1.0, 4.74202e-11, 1.0, 1.0, 1.0, -0.0, 1.0]",12,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581; 0.469675 0.418935; 0.436648 0.364285],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059 0.694463; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157 0.795797; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389 0.631828; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177 0.732069; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613 0.748059; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181 0.87428; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106 0.735689; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685 0.668467; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237 0.739539; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353 0.72729; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542 0.629366; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf 0.568652; 0.694463 0.795797 0.631828 0.732069 0.748059 0.87428 0.735689 0.668467 0.739539 0.72729 0.629366 0.568652 Inf],4095,[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619 0.11207 0.142059 0.694463; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772 0.175367 0.229157 0.795797; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304 0.0705943 0.107389 0.631828; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355 0.147683 0.18177 0.732069; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939 0.130367 0.193613 0.748059; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061 0.263945 0.327181 0.87428; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595 0.119176 0.182106 0.735689; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358 0.20947 0.237685 0.668467; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676 0.160661 0.216237 0.739539; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf 0.323262 0.351353 0.72729; 0.11207 0.175367 0.0705943 0.147683 0.130367 0.263945 0.119176 0.20947 0.160661 0.323262 Inf 0.0638542 0.629366; 0.142059 0.229157 0.107389 0.18177 0.193613 0.327181 0.182106 0.237685 0.216237 0.351353 0.0638542 Inf 0.568652; 0.694463 0.795797 0.631828 0.732069 0.748059 0.87428 0.735689 0.668467 0.739539 0.72729 0.629366 0.568652 Inf],"Any[[0.576956, 0.386524], [0.633401, 0.481764], [0.615596, 0.39619], [0.517428, 0.540242], [0.569673, 0.663204], [0.508588, 0.531579], [0.334362, 0.578835], [0.459721, 0.579288], [0.271829, 0.674581], [0.469675, 0.418935]]",9_13_2
AdMST ,5,2,1,111,"[1, 1]",2,0.1,0.5,0.644943063,0.644943063,"[1.0, -0.0, 0.0, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, -0.0]",10,[0.576956 0.386524; 0.633401 0.481764; 0.421581 0.470612; 0.615596 0.39619; 0.517428 0.540242; 0.569673 0.663204; 0.508588 0.531579; 0.334362 0.578835; 0.459721 0.579288; 0.271829 0.674581],[Inf 0.11071 0.17667 0.0398305 0.164842 0.276776 0.16036 0.309573 0.225615 0.419619; 0.11071 Inf 0.212113 0.087407 0.129883 0.192306 0.134387 0.314399 0.199188 0.409772; 0.17667 0.212113 Inf 0.207799 0.118469 0.242945 0.106241 0.138994 0.115174 0.25304; 0.0398305 0.087407 0.207799 Inf 0.174322 0.270934 0.172572 0.335338 0.240462 0.442355; 0.164842 0.129883 0.118469 0.174322 Inf 0.133601 0.0123763 0.187089 0.0696754 0.279939; 0.276776 0.192306 0.242945 0.270934 0.133601 Inf 0.145108 0.249978 0.138316 0.298061; 0.16036 0.134387 0.106241 0.172572 0.0123763 0.145108 Inf 0.180521 0.0682945 0.276595; 0.309573 0.314399 0.138994 0.335338 0.187089 0.249978 0.180521 Inf 0.12536 0.114358; 0.225615 0.199188 0.115174 0.240462 0.0696754 0.138316 0.0682945 0.12536 Inf 0.210676; 0.419619 0.409772 0.25304 0.442355 0.279939 0.298061 0.276595 0.114358 0.210676 Inf],1023,0,"Any[[0.576956, 0.386524], [0.615596, 0.39619], [0.517428, 0.540242], [0.508588, 0.531579], [0.459721, 0.579288]]",9_13_2
